,xgboost_regression_ensemble,random_forest_regression_ensemble,xgboost_rf_bagging_ensemble,XGBRegressor,LinearRegression,DecisionTreeRegressor,BaggingEnsemble
mse,1.5172429399143683,22.742209058023892,3.796292662462541,17.25108084968948,2817.1128389938112,199.79609251949228,17.51374447430866
mae,0.7631254305632135,3.2316089548764695,1.2513106788286348,2.38214758584672,30.63366511380636,8.967228891676559,2.384471925902798
r2,0.9999969970116872,0.9999549877042029,0.999992486224719,0.9999658559662324,0.9944242568486181,0.9996045555296478,0.9999653360918115
mape,0.012215268012666201,0.026413065109929832,0.012879238639277334,0.005648485146402658,0.5423588363227813,0.017613846488187177,0.006045170705855594
